RespondentID,Sex,age,age_group,max_educert,qualification_tier,currentempstatus,occupation_cj,is_underemployed
114371444771.0,Female,33.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Managers,0
114371465482.0,Male,30.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Plant and Machine Operators and Assemblers,1
114371405341.0,Male,29.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Technician and Associate Professionals,0
114372518412.0,Female,34.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (contract),Clerical Support Workers,1
114358721845.0,Female,29.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (contract),Technician and Associate Professionals,0
114371473616.0,Male,43.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Service and Sales Workers,1
114371692787.0,Female,31.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371502877.0,Male,24.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114375869759.0,Male,37.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Managers,0
114371468153.0,Male,42.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114371434273.0,Female,36.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Technician and Associate Professionals,0
114373145960.0,Male,33.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Managers,0
114371422405.0,Female,26.0,23-26,Diploma/ certificates or equivalent,Diploma,Working full-time (contract),Elementary Occupations,1
114371507320.0,Female,39.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114371591881.0,Female,26.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371644383.0,Male,35.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (contract),Professional,0
114347716423.0,Male,26.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114371495332.0,Female,28.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Professional,0
114371437255.0,Male,35.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (contract),Technician and Associate Professionals,0
114371455976.0,Female,35.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Elementary Occupations,1
114371456925.0,Male,37.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Elementary Occupations,1
114347699714.0,Female,28.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114371468512.0,Female,36.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Clerical Support Workers,1
114373322844.0,Male,33.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Clerical Support Workers,1
114371389438.0,Female,25.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (contract),Professional,0
114347704829.0,Male,29.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114371474036.0,Female,39.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Technician and Associate Professionals,0
114371411063.0,Male,36.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
